Date,Usos bicis abono anual ,Usos bicis abono ocasional ,Total Use,,Usos abono anual acumulado,Usos abono ocasional acumulado,Usos total acumulado desde inicio,,Acumulado mes total,,
6/23/2014,20,79,99,,20,79,99,,,,
6/24/2014,24,48,72,,44,127,171,,,,
6/25/2014,105,14,119,,149,141,290,,,,
6/26/2014,120,15,135,,269,156,425,,,,
6/27/2014,131,18,149,,400,174,574,,,,
6/28/2014,101,18,119,,501,192,693,,,,
6/29/2014,107,33,140,,608,225,833,,,,
6/30/2014,121,16,137,,729,241,970,,729,,
7/1/2014,126,6,132,,855,247,"1,102",,,,
7/2/2014,128,2,130,,983,249,"1,232",,,,
7/3/2014,85,7,92,,"1,068",256,"1,324",,,,
7/4/2014,121,4,125,,"1,189",260,"1,449",,,,
7/5/2014,783,3,786,,"1,972",263,"2,235",,,,
7/6/2014,"1,230",5,1235,,"3,202",268,"3,470",,,,
7/7/2014,"1,324",3,1327,,"4,526",271,"4,797",,,,
7/8/2014,"1,774",6,1780,,"6,300",277,"6,577",,,,
7/9/2014,"1,874",8,1882,,"8,174",285,"8,459",,,,
7/10/2014,"2,266",7,2273,,"10,440",292,"10,732",,,,
7/11/2014,"2,212",2,2214,,"12,652",294,"12,946",,,,
7/12/2014,"1,949",4,1953,,"14,601",298,"14,899",,,,
7/13/2014,"1,792",2,1794,,"16,393",300,"16,693",,,,
7/14/2014,"2,311",3,2314,,"18,704",303,"19,007",,,,
7/15/2014,"2,537",2,2539,,"21,241",305,"21,546",,,,
7/16/2014,"2,673",7,2680,,"23,914",312,"24,226",,,,
7/17/2014,"2,651",8,2659,,"26,565",320,"26,885",,,,
7/18/2014,"2,547",5,2552,,"29,112",325,"29,437",,,,
7/19/2014,"2,359",2,2361,,"31,471",327,"31,798",,,,
7/20/2014,"2,371",2,2373,,"33,842",329,"34,171",,,,
7/21/2014,"2,676",3,2679,,"36,518",332,"36,850",,,,
7/22/2014,"2,935",4,2939,,"39,453",336,"39,789",,,,
7/23/2014,"2,927",5,2932,,"42,380",341,"42,721",,,,
7/24/2014,"3,204",9,3213,,"45,584",350,"45,934",,,,
7/25/2014,"3,084",2,3086,,"48,668",352,"49,020",,,,
7/26/2014,"2,467",0,2467,,"51,135",352,"51,487",,,,
7/27/2014,"2,321",0,2321,,"53,456",352,"53,808",,,,
7/28/2014,"2,894",4,2898,,"56,350",356,"56,706",,,,
7/29/2014,"3,168",3,3171,,"59,518",359,"59,877",,,,
7/30/2014,"3,238",5,3243,,"62,756",364,"63,120",,,,
7/31/2014,"3,365",5,3370,,"66,121",369,"66,490",,"65,392",,
8/1/2014,"3,048",6,3054,,"69,169",375,"69,544",,,,
