Date,Altas nuevos usuarios activos ab. anual sin ttp,Altas nuevos usuarios activos ab. anual con ttp,Altas nuevos usuarios activos ab. anual total,,Usuarios activos ab. anual sin ttp acumulado desde inicio,Usuarios activos ab. anual con ttp acumulado desde inicio,Usuarios activos ab. anual total acumulado desde inicio,,,,,,,,,,,,
6/23/2014,47,44,91,,47,44,91,,,,,,,,,,,,
6/24/2014,21,19,40,,68,63,131,,,,,,,,,,,,
6/25/2014,193,180,373,,261,243,504,,,,,,,,,,,,
6/26/2014,150,113,263,,411,356,767,,,,,,,,,,,,
6/27/2014,185,155,340,,596,511,"1,107",,,,,,,,,,,,
6/28/2014,153,132,285,,749,643,"1,392",,,,,,,,,,,,
6/29/2014,144,128,272,,893,771,"1,664",,,,,,,,,,,,
6/30/2014,201,159,360,,"1,094",930,"2,024",,,,,,,,,,,,
7/1/2014,166,164,330,,"1,260","1,094","2,354",,,,,,,,,,,,
7/2/2014,137,119,256,,"1,397","1,213","2,610",,,,,,,,,,,,
7/3/2014,85,73,158,,"1,482","1,286","2,768",,,,,,,,,,,,
7/4/2014,163,142,305,,"1,645","1,428","3,073",,,,,,,,,,,,
7/5/2014,236,155,391,,"1,881","1,583","3,464",,,,,,,,,,,,
7/6/2014,215,138,353,,"2,096","1,721","3,817",,,,,,,,,,,,
7/7/2014,223,156,379,,"2,319","1,877","4,196",,,,,,,,,,,,
7/8/2014,184,147,331,,"2,503","2,024","4,527",,,,,,,,,,,,
7/9/2014,153,113,266,,"2,656","2,137","4,793",,,,,,,,,,,,
7/10/2014,117,108,225,,"2,773","2,245","5,018",,,,,,,,,,,,
7/11/2014,141,119,260,,"2,914","2,364","5,278",,,,,,,,,,,,
7/12/2014,173,122,295,,"3,087","2,486","5,573",,,,,,,,,,,,
7/13/2014,148,125,273,,"3,235","2,611","5,846",,,,,,,,,,,,
7/14/2014,117,113,230,,"3,352","2,724","6,076",,,,,,,,,,,,
7/15/2014,136,90,226,,"3,488","2,814","6,302",,,,,,,,,,,,
7/16/2014,92,100,192,,"3,580","2,914","6,494",,,,,,,,,,,,
7/17/2014,95,90,185,,"3,675","3,004","6,679",,,,,,,,,,,,
7/18/2014,103,72,175,,"3,778","3,076","6,854",,,,,,,,,,,,
7/19/2014,138,118,256,,"3,916","3,194","7,110",,,,,,,,,,,,
7/20/2014,142,104,246,,"4,058","3,298","7,356",,,,,,,,,,,,
7/21/2014,106,72,178,,"4,164","3,370","7,534",,,,,,,,,,,,
7/22/2014,77,78,155,,"4,241","3,448","7,689",,,,,,,,,,,,
7/23/2014,79,83,162,,"4,320","3,531","7,851",,,,,,,,,,,,
7/24/2014,104,71,175,,"4,424","3,602","8,026",,,,,,,,,,,,
7/25/2014,90,65,155,,"4,514","3,667","8,181",,,,,,,,,,,,
7/26/2014,93,61,154,,"4,607","3,728","8,335",,,,,,,,,,,,
7/27/2014,86,57,143,,"4,693","3,785","8,478",,,,,,,,,,,,
